City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vestmannaeyjar,63.4427,-20.2734,1.7,72,16,7.52,IS,1670360203
84,zhigansk,66.7697,123.3711,-30.53,96,100,9.98,RU,1670360203
85,ponta do sol,32.6667,-17.1,21.67,94,100,6.31,PT,1670360204
86,tongliao,43.6125,122.2653,-7.9,54,0,6.75,CN,1670360204
87,upernavik,72.7868,-56.1549,-1.24,97,100,8.23,GL,1670360113
88,inuvik,68.3499,-133.7218,-24.52,58,75,4.63,CA,1670360071
89,tiksi,71.6872,128.8694,-32.79,100,97,1.79,RU,1670360204
90,kavieng,-2.5744,150.7967,27.36,78,92,3.56,PG,1670360171
91,dalbandin,28.8947,64.4101,12.27,32,0,2.65,PK,1670360205
92,seoul,37.5683,126.9778,3.69,84,75,2.57,KR,1670360205
93,sao filipe,14.8961,-24.4956,23.13,74,56,2.71,CV,1670360205
94,savinka,50.0785,47.0994,-10.41,70,20,3.12,RU,1670360206
95,anito,12.4497,125.2886,25.15,80,79,2.78,PH,1670360206
96,chuy,-33.6971,-53.4616,23.48,63,0,4.47,UY,1670360111
97,cape town,-33.9258,18.4232,17.84,61,0,3.09,ZA,1670360002
98,te anau,-45.4167,167.7167,11.21,65,31,0.54,NZ,1670360206
99,do gonbadan,30.3586,50.7981,14.05,67,75,6.17,IR,1670360207
100,hobart,-42.8794,147.3294,10.14,84,20,5.66,AU,1670360000
101,mayumba,-3.432,10.6554,24.61,87,100,1.53,GA,1670360207
102,chitipa,-9.7024,33.2697,18.13,72,75,0.98,MW,1670360208
103,port blair,11.6667,92.75,26.84,84,97,7.75,IN,1670360208
104,new norfolk,-42.7826,147.0587,9.95,65,95,1.2,AU,1670360122
105,payo,-3.7508,103.6372,22.27,98,100,0.78,ID,1670360208
106,pacific grove,36.6177,-121.9166,13.56,74,100,4.02,US,1670360178
107,sinnamary,5.3833,-52.95,26.13,87,49,4.35,GF,1670360209
108,elbrus,43.2577,42.6443,-9.2,89,43,0.98,RU,1670360209
109,ucluelet,48.9329,-125.5528,7.27,88,100,2.03,CA,1670360209
110,portland,45.5234,-122.6762,6.46,87,100,2.68,US,1670360174
111,arlit,18.7369,7.3853,25.1,15,48,3.95,NE,1670360210
112,ust-kuyga,70.0167,135.6,-39.58,100,59,0.88,RU,1670360210
113,antsohihy,-14.8796,47.9875,25.36,76,1,2.18,MG,1670360210
114,carnarvon,-24.8667,113.6333,20.82,77,58,6.8,AU,1670360116
115,mao,39.8885,4.2658,12.31,100,0,3.09,ES,1670360007
